Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"FRIENDS OF MARC PANEPINTO 47 LOVERING BUFFALO, NY 14216","1,000.00",19-NOV-12,FRIENDS OF MIKE LOCURTO,2013 January Periodic,C,City Council,N/A
"FRIENDS OF MARK SCHROEDER PO BOX 73 BUFFALO, NY 14220",99.00,30-JUL-14,FRIENDS OF MIKE LOCURTO,2015 January Periodic,C,City Council,N/A
"FRIENDS OF MICHAEL KEARNS PO BOX 775 BUFFALO, NY 14220",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"FRIENDS OF MICHAEL P. KEARNS PO BOX 775 BUFFALO, NY 14220",250.00,24-MAY-10,FRIENDS OF MIKE LOCURTO,2010 July Periodic,C,City Council,N/A
"FRIENDS OF PAUL CLARK 1325 SENECA STREET WEST SENECA, NY 14224",100.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"FRIENDS OF PAUL TOKASZ 71 W MELCOURT DRIVE CHEEKTOWAGA, NY 14225",250.00,14-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"GECKO'S BAR AND GRILL 1464 HERTEL AVENUE BUFFALO, NY 14216",100.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,B,City Council,N/A
"GERRY KELLY CAPITAL 4470 MAIN STREET BUFFALO, NY 14220",50.00,02-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,B,City Council,N/A
"HABER CONSTRUCTION 136 TAYLOR ROAD DEPEW, NY 14043",100.00,21-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,B,City Council,N/A
"HIGGINS FOR CONGRESS PO BOX 28 BUFFALO, NY 14220",100.00,31-MAY-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"HUBER CONSTRUCTION INC 136 TAYLOR DRIVE DEPEW, NY 14043",100.00,08-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"HUGHES AND WRAY 63 KENMORE BUFFALO, NY 14226",198.00,06-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"HUGHES AND WRAY 63 KENMORE AMHERST, NY 14226",105.00,14-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,B,City Council,N/A
"I.U.O.E. 5959 VERSAILLES ROAD LAKEVIEW, NY 14085",250.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"IDEAL CONCRETE 42 LACKAWANNA AVE NUFFALO, NY 14212",100.00,09-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,B,City Council,N/A
"INTERNATIONAL UNION OF ELEVATOR 3527 HARLEM RD CHEEKTOWAGA, NY 14225",100.00,24-AUG-06,FRIENDS OF MIKE LOCURTO,2006 32 Pre General,C,City Council,N/A
"INTERNATIONAL UNION OF ELEVATOR CONSTRUCTORS LOCAL 3527 HARLEM ROAD CHEEKTOWAGA, NY 14225",100.00,10-MAY-07,FRIENDS OF MIKE LOCURTO,2007 July Periodic,C,City Council,N/A
"INTERNATIONAL UNION OF PAINTERSW  ,",500.00,05-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"INTL ASSOC BRIDGE STRUC IRON WORKERS LOCAL NO. 6  196 ORCHARD PARK ROAD ORCHARD PARK, NY 14224",75.00,05-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,C,City Council,N/A
"INTL BROTHERHOOD OF BOILERMAKERS 5745 BIG TREE ROAD ORCHARD PARK, NY 14127",250.00,24-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"INTL. ASSOC. BRIDGE AND IRON WORKERS 196 ORCHARD PARK ROAD WEST SENECA, NY 14224",100.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
"IST AMENDMENT CLUB  BUFFALO, NY",220.00,23-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"IUOE 5959 VERSAILLES ROAD LAKEVIEW, NY 14085",500.00,12-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,C,City Council,N/A
"IUOE LOCAL 17 5959 VERSAILLES ROAD LAKEWIVE, NY 14085",100.00,19-MAY-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,C,City Council,N/A
