Contributor,Amt,Contr. Date,Recipient,Report,Sched,Office,Dist
"VERNI, DOMINIC      28 TILLINGHAST BUFFALO, NY 14216",150.00,01-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"VERNI, DOMINIC VE      28 TILLINGHAST PLACE BUFFALO, NY 14216",200.00,26-APR-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
"WADSWORTH, JAMES      ONE M&T PLAZA BUFFALO, NY 14203",100.00,21-AUG-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
"WALL, RICHARD      24 CLEVEBURN BUFFALO, NY 14222",100.00,06-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"WALSH, JOHN      101 LEXINGTON BUFFALO, NY 14222",250.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"WARTHLING, FRANCIS      346 WILLET ROAD BLASDELL, NY 13219",100.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"WHITAKER, W. RIK      242 LINWOOD BUFFALO, NY 14209",198.00,02-MAY-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"WHYTE, MARIA      175 DORCHESTER BUFFALO, NY 14213",100.00,07-FEB-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"WINKLE, DONALD      43 MANOR OAK DRIVE AMHERST, NY 14228",50.00,15-DEC-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,A,City Council,N/A
"ZEMSKY, HOWARD      726 EXCHANGE BUFFALO, NY 14210","1,000.00",31-JAN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
"ZEMSKY, HOWARD      726 EXCHANGE STREET BUFFALO, NY 14210",500.00,29-MAY-08,FRIENDS OF MIKE LOCURTO,2008 July Periodic,A,City Council,N/A
"ZILLER, ARTHUR      60 ARGYLE PARK BUFFLAO, NY 14222",150.00,06-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"CANTOR LUK      267 NORTH STREET BUFFALO, NY 14201",250.00,06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
"DAVID       ,",150.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
"DAVID       ,",100.00,10-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
",",699.00,15-NOV-07,FRIENDS OF MIKE LOCURTO,2007 27 Post General,A,City Council,N/A
",","4,090.00",11-JUL-06,FRIENDS OF MIKE LOCURTO,2006 July Periodic,A,City Council,N/A
",",847.00,01-AUG-10,FRIENDS OF MIKE LOCURTO,2011 January Periodic,A,City Council,N/A
",","1,478.00",03-SEP-07,FRIENDS OF MIKE LOCURTO,2007 11 Pre Primary,A,City Council,N/A
",","2,366.00",06-AUG-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre Primary,A,City Council,N/A
",","1,440.00",12-APR-12,FRIENDS OF MIKE LOCURTO,2012 July Periodic,A,City Council,N/A
",","2,023.00",15-SEP-07,FRIENDS OF MIKE LOCURTO,2007 10 Post Primary,A,City Council,N/A
",",149.00,28-SEP-07,FRIENDS OF MIKE LOCURTO,2007 32 Pre General,A,City Council,N/A
",","7,519.00",20-JUN-11,FRIENDS OF MIKE LOCURTO,2011 July Periodic,A,City Council,N/A
",",50.00,20-DEC-11,FRIENDS OF MIKE LOCURTO,2012 January Periodic,A,City Council,N/A
",",375.00,15-OCT-09,FRIENDS OF MIKE LOCURTO,2010 January Periodic,A,City Council,N/A
",","1,259.00",30-OCT-06,FRIENDS OF MIKE LOCURTO,2006 27 Post General,A,City Council,N/A
",",99.00,11-DEC-07,FRIENDS OF MIKE LOCURTO,2008 January Periodic,A,City Council,N/A
